Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
Somerton,AGLSOM01,VIC,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,43,43,43,43,43,43,43,43,43,43,43,43,43
Somerton,AGLSOM02,VIC,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,43,43,43,43,43,43,43,43,43,43,43,43,43
Somerton,AGLSOM03,VIC,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,43,43,43,43,43,43,43,43,43,43,43,43,43
Somerton,AGLSOM04,VIC,35,35,35,35,35,35,35,35,35,35,38,38,38,38,38,38,38,43,43,43,43,43,43,43,43,43,43,43,43,43
Swanbank E GT,SWAN_E,QLD,350,350,350,350,350,350,350,350,350,350,355,355,355,355,355,355,355,355,355,355,365,365,365,365,365,365,365,365,365,365
Tallawarra,TALWA1,NSW,385,405,405,405,405,405,405,405,405,405,395,415,415,415,415,415,415,415,415,415,425,425,425,425,425,425,425,425,425,425
Tamar Valley Combined Cycle,TVCC201_GT,TAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamar Valley Combined Cycle,TVCC201_ST,TAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamar Valley Peaking,TVPP104,TAS,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Torrens Island B,TORRB1,SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torrens Island B,TORRB2,SA,195,195,195,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0
Torrens Island B,TORRB3,SA,195,195,195,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0
Torrens Island B,TORRB4,SA,195,195,195,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0
Townsville Power Station.,YABULU,QLD,150,150,150,150,150,150,150,150,150,150,155,155,155,155,155,155,155,155,155,155,165,165,165,165,165,165,165,165,165,165
Townsville Power Station.,YABULU2,QLD,78,78,77,77,77,77,77,77,77,77,78,78,77,77,77,77,77,77,77,77,82,82,81,81,81,81,81,81,81,81
Uranquinty,URANQ11,NSW,160,160,160,160,160,160,160,160,160,160,164,164,164,164,164,164,164,164,164,164,173,173,173,173,173,173,173,173,173,173
Uranquinty,URANQ12,NSW,160,160,160,160,160,160,160,160,160,160,164,164,164,164,164,164,164,164,164,164,173,173,173,173,173,173,173,173,173,173
