Generator,Generator type,Region,ISP sub-region,REZ location,Fuel/technology type,Maximum capacity (MW),Summer rating (MW),Summer typical rating (MW),Winter rating (MW),Maintenance duration (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary load (%),SRMC ($/MWh),Expected retirement year
Devils Gate,Hydro,TAS,TAS,N/A,Hydro,60,63,63,63,0.27,69.51,8.58,0.00,0.00,0.00,0.95,0.34,8.58,2100
Fisher,Hydro,TAS,TAS,N/A,Hydro,43,46,46,46,0.27,69.51,8.58,0.00,0.00,0.00,0.96,0.34,8.58,2100
Gordon,Hydro,TAS,TAS,N/A,Hydro,432,378,378,378,0.27,69.51,8.58,0.00,0.00,0.00,0.97,0.34,8.58,2100
John Butters,Hydro,TAS,TAS,N/A,Hydro,144,144,144,144,0.27,69.51,8.58,0.00,0.00,0.00,0.92,0.34,8.58,2100
Lake Echo,Hydro,TAS,TAS,N/A,Hydro,32,30,30,30,0.27,69.51,8.58,0.00,0.00,0.00,0.89,0.34,8.58,2100
Lemonthyme / Wilmot,Hydro,TAS,TAS,N/A,Hydro,82,88,88,88,0.27,69.51,8.58,0.00,0.00,0.00,0.96,0.34,8.58,2100
Mackintosh,Hydro,TAS,TAS,N/A,Hydro,80,84,84,84,0.27,69.51,8.58,0.00,0.00,0.00,0.91,0.34,8.58,2100
Meadowbank,Hydro,TAS,TAS,N/A,Hydro,40,44,44,44,0.27,69.51,8.58,0.00,0.00,0.00,0.97,0.34,8.58,2100
Poatina,Hydro,TAS,TAS,N/A,Hydro,300,285,285,342,0.27,69.51,8.58,0.00,0.00,0.00,0.96,0.34,8.58,2100
Reece,Hydro,TAS,TAS,N/A,Hydro,231,240,240,240,0.27,69.51,8.58,0.00,0.00,0.00,0.91,0.34,8.58,2100
Tarraleah,Hydro,TAS,TAS,N/A,Hydro,90,72,72,72,0.27,69.51,8.58,0.00,0.00,0.00,0.90,0.34,8.58,2100
Trevallyn,Hydro,TAS,TAS,N/A,Hydro,93,100,100,100,0.27,69.51,8.58,0.00,0.00,0.00,0.98,0.34,8.58,2100
Tribute,Hydro,TAS,TAS,N/A,Hydro,83,0,0,0,0.27,69.51,8.58,0.00,0.00,0.00,0.91,0.34,8.58,2100
